,lasso_pct_nonzero,lasso_mean_coef,lasso_mean_abs,ridge_mean_coef,ridge_mean_abs
IVOL_zscore,67.24137931034483,0.0013393758438847024,0.0013393758438847024,0.0021500381621760477,0.0021500381621760477
GrossProfitability_zscore,62.06896551724138,0.0004536924089321407,0.0004536924089321407,0.0012020715777563255,0.0012020715777563255
Beta_zscore,53.44827586206896,0.0007167351175528675,0.0007167351175528675,0.0015133568415041936,0.0015201313617405987
ShortInterestRatio_zscore,27.586206896551722,0.0001632499249115315,0.0001632499249115315,0.0007113915070498361,0.0007134118279929781
Momentum12_1_zscore,20.689655172413794,4.9247484818240395e-05,4.9247484818240395e-05,0.00041901833548958095,0.0004199091929667428
NetDebtEBITDA_zscore,10.344827586206897,-1.2957838755645052e-05,1.2957838755645052e-05,-0.0004355406020354547,0.0004355406020354547
AnalystRevision_zscore,6.896551724137931,4.097519388682194e-06,4.097519388682194e-06,0.0005181966847458269,0.0005181966847458269
Accruals_zscore,3.4482758620689653,1.1647756593560276e-05,1.1647756593560276e-05,0.00043582894019716175,0.00043582894019716175
AnalystDispersion_zscore,1.7241379310344827,-8.149728228550872e-07,8.149728228550872e-07,-0.00037273742543286124,0.00037273742543286124
RevisionBreadth_zscore,1.7241379310344827,1.8542547340400497e-07,1.8542547340400497e-07,0.0004259631032558921,0.0004259631032558921
AssetGrowth_zscore,0.0,0.0,0.0,-0.0002775334359262385,0.00044688369852080806
EarningsYield_zscore,0.0,0.0,0.0,-0.0001347368366015952,0.00020089499960695433
SUE_zscore,0.0,0.0,0.0,-0.0002294187290222138,0.0002381970635991636
InstOwnershipChg_zscore,0.0,0.0,0.0,-0.0002639970415575603,0.0002639970415575603
