l1_ratio,alpha,n_nonzero
0.01,10.0,0
0.01,10.0,0
0.01,10.0,0
0.01,10.0,0
0.01,10.0,0
0.01,10.0,0
0.01,10.0,0
0.01,10.0,0
0.01,10.0,0
0.01,10.0,0
0.01,10.0,0
0.01,10.0,0
0.01,10.0,0
0.01,10.0,0
0.01,10.0,0
0.01,10.0,0
0.01,10.0,0
0.01,10.0,0
0.01,10.0,0
0.01,10.0,0
0.01,10.0,0
0.01,10.0,0
0.01,10.0,0
0.01,10.0,0
0.01,10.0,0
0.01,10.0,0
0.01,10.0,0
0.01,10.0,0
0.01,10.0,0
0.01,10.0,0
0.01,10.0,0
0.01,10.0,0
0.01,10.0,0
0.01,10.0,0
0.01,10.0,0
0.01,10.0,0
0.01,10.0,0
0.01,10.0,0
0.01,10.0,0
0.01,10.0,0
0.01,10.0,0
0.01,10.0,0
0.01,10.0,0
0.01,10.0,0
0.01,10.0,0
0.01,10.0,0
0.01,10.0,0
0.01,10.0,0
0.01,0.09102981779915217,6
0.01,0.09102981779915217,9
0.01,0.09102981779915217,10
0.01,0.09102981779915217,10
0.01,0.09102981779915217,10
0.01,0.09102981779915217,11
0.01,0.09102981779915217,9
0.01,0.11513953993264481,8
0.01,0.11513953993264481,8
0.01,0.11513953993264481,6
