n_monthly_regressions,beta_mean_L2,beta_max_abs
60,0.010526486336366674,0.00818743120457561
61,0.010804021782979885,0.008585568092488713
62,0.010628740574483507,0.007866078623067617
63,0.009777813839399668,0.006738135237109
64,0.009974173280690519,0.00703324330071766
65,0.010155930100268542,0.00709587019958729
66,0.010311776223843922,0.0072044071067539515
67,0.010210804665698594,0.00685378313633036
68,0.010191018552291719,0.006815028655614015
69,0.010859563114771093,0.00793828643761978
70,0.011388088664609207,0.00854053841460182
71,0.011400590165159666,0.00849561669069536
72,0.011578100880210924,0.00877938351812111
73,0.011802626734712536,0.008985821892122449
74,0.01200544915463491,0.009203098048861186
75,0.011716436235495006,0.008806351450402055
76,0.01155235471866934,0.008721330498889394
77,0.011496737139216555,0.00874756147588854
78,0.01046118409649289,0.007474341930164982
79,0.01049081243523718,0.007564620922576088
80,0.010532887090158044,0.0077558940143904395
81,0.009251499668593987,0.005926726557316111
82,0.0093712595959411,0.0058584828847943965
83,0.008995330251374995,0.005427115501239245
84,0.009063553655091558,0.005677187187476225
85,0.008994434991110089,0.005673727450458567
86,0.008656681503450546,0.00539689851082145
87,0.008739005902638694,0.005658799964813927
88,0.008726992564706987,0.005703552322919664
89,0.007896192538027105,0.004410027896390224
90,0.008210145336548385,0.004825128912213371
91,0.008145368570185902,0.0047558603627502905
92,0.008354328288033853,0.0051634675943230705
93,0.007933715945862061,0.004571370316177028
94,0.007674278766542981,0.0040653829127380555
95,0.007706199852089256,0.004230722289159156
96,0.007914044419283521,0.0044255309315063916
97,0.008262211633578256,0.004887540194118312
98,0.00822807523183866,0.0048055985846665785
99,0.008238299678051791,0.0048948942310471765
100,0.008434717656246371,0.0048448842773093454
101,0.008684439352253447,0.0051701948228956305
102,0.008142366389870731,0.004214878588871306
103,0.00761488186010157,0.0033685573654537886
104,0.007556985572808772,0.0035543714587621144
105,0.007355773394262885,0.003489268640866078
106,0.0073371513236159145,0.0033764771676609356
107,0.0074115112450491355,0.003417257406213689
108,0.007344665459547713,0.0034295739640177844
109,0.007455925343491375,0.003171258902989363
110,0.007352067874620653,0.003032387976166781
111,0.0071762882832458455,0.0030457259325074137
112,0.007194299313522384,0.0030919670848326133
113,0.006949192842602938,0.002966838121207898
114,0.006969515599128332,0.0030009474441494714
115,0.006840734674265865,0.0030438158210753467
116,0.006902731210543818,0.003045672199642228
117,0.006817138482233994,0.0030152051782732685
