,mean_coef,se,t_stat
IVOL_zscore,0.002250993533958872,0.000911097131938249,2.4706405662480306
NetDebtEBITDA_zscore,-0.0011515278377124084,0.00050698796850465,-2.2713119625083307
Momentum12_1_zscore,0.0019944727989907054,0.0011389693635622206,1.7511206734769647
AnalystDispersion_zscore,-0.001083337308526963,0.000626595790656891,-1.7289252891265798
GrossProfitability_zscore,0.00135385037051771,0.0009262244461041618,1.4616871496020287
RevisionBreadth_zscore,0.000603984268077177,0.00043098984793124286,1.4013886196538266
Beta_zscore,0.002716679778042023,0.0020280825480728094,1.3395311648549781
AnalystRevision_zscore,0.0004644927377554045,0.0004670737705113362,0.9944740361825369
EarningsYield_zscore,-0.0005868556580411563,0.0007030483996891505,-0.8347300958236044
AssetGrowth_zscore,-0.0004683996147047082,0.0005986745552548189,-0.7823943920672214
Accruals_zscore,0.0004030823687012129,0.0006644690502082898,0.6066232408791041
SUE_zscore,-0.0004386962140891669,0.0008269619030456567,-0.5304914440114739
InstOwnershipChg_zscore,9.439559694914323e-05,0.0003263087135764674,0.2892831022332552
ShortInterestRatio_zscore,5.799003320983355e-05,0.00043045681813232384,0.13471742290305
