feature,pct_nonzero,mean_coef,mean_abs_coef,n_folds_selected,n_folds_total,phase,univariate_IC
AmihudIlliquidity_zscore,0.9483,0.001736,0.001736,55,58,Phase2,0.038055
Turnover_zscore,0.9483,0.002041,0.002041,55,58,Phase2,0.021779
GrossProfitability_zscore,0.7931,0.000526,0.000526,46,58,V2,0.022189
Beta_zscore,0.6897,0.000608,0.000608,40,58,V2,0.030203
IVOL_zscore,0.2931,3.9e-05,3.9e-05,17,58,V2,0.012352
ShortInterestRatio_zscore,0.2586,0.000108,0.000108,15,58,V2,0.009609
InstOwnershipChg_zscore,0.1897,-9.8e-05,9.8e-05,11,58,V2,-0.009116
AnalystDispersion_zscore,0.1724,-9.3e-05,9.3e-05,10,58,V2,0.005154
AnalystCoverageChg_zscore,0.1552,4.1e-05,4.1e-05,9,58,Phase2,0.006408
NetDebtEBITDA_zscore,0.1379,-3.4e-05,3.4e-05,8,58,V2,-0.024596
AssetGrowth_zscore,0.1379,4.6e-05,4.6e-05,8,58,V2,0.008925
AnalystRevision_zscore,0.1207,1.6e-05,1.6e-05,7,58,V2,0.011899
EarningsYield_zscore,0.1207,-3.7e-05,3.7e-05,7,58,V2,-0.014011
RevisionBreadth_zscore,0.069,6e-06,6e-06,4,58,V2,0.011622
ReturnSkewness_zscore,0.0345,-8e-06,8e-06,2,58,Phase2,0.000632
Momentum12_1_zscore,0.0172,1e-06,1e-06,1,58,V2,0.004854
Accruals_zscore,0.0172,1e-06,1e-06,1,58,V2,-0.007987
SUE_zscore,0.0,0.0,0.0,0,58,V2,-0.01145
High52W_Proximity_zscore,0.0,0.0,0.0,0,58,Phase2,-0.002631
MaxDailyReturn_zscore,0.0,0.0,0.0,0,58,Phase2,0.008573
ImpliedEPSGrowth_zscore,0.0,0.0,0.0,0,58,Phase2,0.024807
QRevGrowthYoY_zscore,0.0,0.0,0.0,0,58,Phase2,0.005836
