date,1a_OLS,1b_IC_Ensemble,2a_LASSO,2b_Ridge
2020-02-28,-0.08148158762854164,-0.020498388542968073,-0.08148158762854164,-0.03533890473030532
2020-03-31,0.010046529216708622,-0.018505236351375243,0.010046529216708622,0.0025966809084309317
2020-04-30,0.006257177891564325,-0.04344828561029579,0.006257177891564325,0.002423079505419118
2020-05-29,0.05008251262425792,-0.013625184195741269,0.021873089576554344,0.029474675515131527
2020-06-30,-0.03782223545801375,-0.03763530105935455,-0.03782223545801375,-0.032388504806628984
2020-07-31,-0.006519209647778218,-0.030036176711292162,-0.02267455096573681,-0.008959988830927662
2020-08-31,-0.004698447309442891,0.011023671488942628,-0.004344502757014351,0.008230701690690852
2020-09-30,0.023489998616669783,0.019343311835252203,0.038593298842034496,0.024732472452418677
2020-10-30,0.0580604119156925,0.030791772911422096,0.0580604119156925,0.037957659251372775
2020-11-30,0.0023921840571304587,-0.009496832430272911,0.0023921840571304587,0.0037275896948031906
2020-12-31,0.05374112900290739,0.02422661554705327,0.05374112900290739,0.046866422021627385
2021-01-29,-0.13853159351238378,-0.07554959479854362,-0.13853159351238378,-0.12740834752680963
2021-02-26,0.1503902695110448,0.02320574893961702,0.1503902695110448,0.1069365983749534
2021-03-31,0.02831869661479133,-0.009662318585253057,0.02831869661479133,0.019235936191273513
2021-04-30,-0.038249691044098054,-0.018708209275912435,-0.038249691044098054,-0.03449138040531339
2021-05-28,-0.08582240302112318,-0.026664304144307538,-0.08582240302112318,-0.08535567706081262
2021-06-30,-0.04856883490870276,-0.028011390779963896,-0.04856883490870276,-0.05103398131562992
2021-07-30,-0.07471279775646879,-0.024116250505164166,-0.07471279775646879,-0.0652908695354325
2021-08-31,0.06520299354285579,0.0002139805242969972,-0.025660120815424424,0.05084015075615006
2021-09-30,-0.03679753556650875,-0.016646295350314214,-0.040057718476837034,-0.02933088924426558
2021-10-29,-0.01695397730843687,0.0027705380178791733,0.08915539420647167,-0.014422834017876515
2021-11-30,0.059403082309809035,0.003065139765362157,0.08378092507085147,0.03673665717385444
2021-12-31,0.12870843094173437,0.014676359113451637,0.050300660553642046,0.09735199363476726
2022-01-31,0.03408211962096292,0.023957053538898626,0.03408211962096292,0.03304370186073305
2022-02-28,0.006263367882905602,0.019581404271069178,0.006263367882905602,0.011774047196252163
2022-03-31,0.06920200261831283,0.009354222016602243,0.06920200261831283,0.05652016089396983
2022-04-29,0.01113398960647163,0.0019117554936665948,0.01732195062527008,0.0055939933128528255
2022-05-31,-0.010183086617137682,-0.0006715297775514162,-0.010183086617137682,-0.0022321157415424175
2022-06-30,-0.051542626138240955,-0.003538475774415073,-0.051542626138240955,-0.025625845946805892
2022-07-29,0.002277814031454342,0.017033226664093747,0.002277814031454342,-0.0005663796964296228
2022-08-31,0.0032904950488885365,0.0038110469904315478,0.0032904950488885365,0.008605234564936774
2022-09-30,0.05260648630898779,0.006263709149096346,0.05260648630898779,0.03474141441553117
2022-10-31,0.04438791115519884,0.00897073867358461,0.04438791115519884,0.04958927892937729
2022-11-30,0.11890598220132798,0.0870154949652901,0.11890598220132798,0.12073420735951998
2022-12-30,0.048413087895169404,-0.008628696706971473,0.048413087895169404,0.033763503742683276
2023-01-31,0.0039396742593886674,-0.013325151195331675,0.0039396742593886674,-0.001218032357438184
2023-02-28,-0.08511491097045028,-0.08753255642904895,-0.08511491097045028,-0.05369591035836267
2023-03-31,0.050961520675030375,0.055423546502136045,0.050961520675030375,0.040526460168948675
2023-04-28,-0.020137284856790505,-0.07035526179903273,-0.020137284856790505,-0.01937217728833379
2023-05-31,-0.050148833111516466,-0.16998989229179437,-0.050148833111516466,-0.05946946568584979
2023-06-30,0.03044052281364812,0.0015687582701078284,-0.17951247275878066,0.029432096766070448
2023-07-31,0.009129608456835095,0.023861444673820446,0.03878571189623984,0.011037035855946467
2023-08-31,0.07304520109691612,0.0513858255598203,0.041777157680683324,0.05737361551614911
2023-09-29,-0.018476730916133832,-0.008650958501417505,0.015525978153579256,-0.019560297146846206
2023-10-31,-0.1372194948362549,-0.07066369226413338,-0.22388251365075795,-0.12058697257606532
2023-11-30,-0.07498693278131224,-0.033438304743612424,-0.0957816798741919,-0.06230036618823975
2023-12-29,0.001143639918726902,0.014963744686062208,0.02042924761135928,0.002562016675531298
2024-01-31,-0.01720755641097349,-0.006212878958908374,0.013036913457896565,-0.0034915302229655554
2024-02-29,0.0773366656848133,0.014135020079898183,-0.05171443070275848,0.05949461121635474
2024-03-28,0.0255432539120434,0.007269324932198118,-0.030501131709323254,0.02415118761083901
2024-04-30,-0.03037273909097294,-0.020382303831285205,-0.039802328700206245,-0.02784178913334884
2024-05-31,-0.03351313363848855,-0.0093695312477039,-0.008292642067228791,-0.02159427005649473
2024-06-28,0.0455091713445997,0.014290400757559031,0.01699393506827386,0.03612646771729133
2024-07-31,-0.005578092457150713,0.0031732880280773146,0.08504708115588416,0.0006770187197499833
2024-08-30,-0.0768816981834767,-0.06557547854214954,0.00047957661511793814,-0.06938589485096963
2024-09-30,-0.011596912729261805,-0.002842183570973447,0.0007629763280864038,-0.008338113718898213
2024-10-31,0.0194979002807025,0.006864995661615109,0.0194979002807025,0.015864003819553427
2024-11-29,-0.026596740076776527,-0.013153215209033876,0.04345214251188996,-0.024469674909353204
