fold,test_month,chosen_lambda,inner_cv_ic_mean
1,2020-02,3.981071705534969,0.014583
2,2020-03,3.981071705534969,0.017446
3,2020-04,3.981071705534969,0.017446
4,2020-05,3.981071705534969,0.017446
5,2020-06,3.981071705534969,0.017446
6,2020-07,3.981071705534969,0.017446
7,2020-08,0.015848931924611134,0.015197
8,2020-09,0.015848931924611134,0.014736
9,2020-10,0.015848931924611134,0.014736
10,2020-11,0.015848931924611134,0.014736
11,2020-12,0.015848931924611134,0.014736
12,2021-01,0.015848931924611134,0.014736
13,2021-02,0.015848931924611134,0.015877
14,2021-03,0.015848931924611134,0.013855
15,2021-04,0.015848931924611134,0.013855
16,2021-05,0.015848931924611134,0.013855
17,2021-06,0.015848931924611134,0.013855
18,2021-07,0.015848931924611134,0.013855
19,2021-08,0.25118864315095796,0.017593
20,2021-09,0.25118864315095796,0.016014
21,2021-10,0.25118864315095796,0.016014
22,2021-11,0.25118864315095796,0.016014
23,2021-12,0.25118864315095796,0.016014
24,2022-01,0.25118864315095796,0.016014
25,2022-02,1.0,0.023164
26,2022-03,1.0,0.022543
27,2022-04,1.0,0.022543
28,2022-05,1.0,0.022543
29,2022-06,1.0,0.022543
30,2022-07,1.0,0.022543
31,2022-08,0.25118864315095796,0.022635
32,2022-09,0.25118864315095796,0.021725
33,2022-10,0.25118864315095796,0.021725
34,2022-11,0.25118864315095796,0.021725
35,2022-12,0.25118864315095796,0.021725
36,2023-01,0.25118864315095796,0.021725
37,2023-02,0.0630957344480193,0.00947
38,2023-03,0.0630957344480193,0.011338
39,2023-04,0.0630957344480193,0.011338
40,2023-05,0.0630957344480193,0.011338
41,2023-06,0.0630957344480193,0.011338
42,2023-07,0.0630957344480193,0.011338
43,2023-08,63.0957344480193,0.014144
44,2023-09,15.848931924611142,0.013181
45,2023-10,15.848931924611142,0.013181
46,2023-11,15.848931924611142,0.013181
47,2023-12,15.848931924611142,0.013181
48,2024-01,15.848931924611142,0.013181
49,2024-02,0.25118864315095796,0.015822
50,2024-03,0.25118864315095796,0.017119
51,2024-04,0.25118864315095796,0.017119
52,2024-05,0.25118864315095796,0.017119
53,2024-06,0.25118864315095796,0.017119
54,2024-07,0.25118864315095796,0.017119
55,2024-08,1.0,0.023555
56,2024-09,1.0,0.022595
57,2024-10,1.0,0.022595
58,2024-11,1.0,0.022595
