label,objective,n_estimators,max_depth,learning_rate,IC_mean,IC_std,IC_IR,Hit_Rate,LS_Sharpe,n_months
mse_d1_lr0.01_n300,reg:squarederror,300,1,0.01,0.019003422317314993,0.13315758717525342,0.14271377786610023,0.603448275862069,0.8818141005654891,58
mse_d1_lr0.05_n300,reg:squarederror,300,1,0.05,0.014248303484967095,0.11471945658116284,0.12420128119144781,0.6379310344827587,0.8411055799661986,58
mse_d1_lr0.1_n300,reg:squarederror,300,1,0.1,0.01165063624683356,0.1018152730963566,0.11442916069976608,0.6206896551724138,0.7101461541103173,58
mse_d4_lr0.01_n300,reg:squarederror,300,4,0.01,0.009484549584947157,0.11988179952238866,0.07911584262776986,0.6551724137931034,0.7410306953599698,58
mse_d4_lr0.05_n300,reg:squarederror,300,4,0.05,0.007638155408300328,0.09640453945495818,0.07923024632952064,0.6206896551724138,0.45021206755804605,58
mse_d4_lr0.1_n300,reg:squarederror,300,4,0.1,0.0016213664794078912,0.08482343745626132,0.019114604736974242,0.5862068965517241,0.27333068464000493,58
mse_d6_lr0.01_n300,reg:squarederror,300,6,0.01,0.0032690980336867975,0.11811990643991947,0.02767609738456398,0.5689655172413793,0.48505993363697714,58
mse_d6_lr0.05_n300,reg:squarederror,300,6,0.05,0.004729107898440623,0.08157867121230392,0.05796990595903903,0.5689655172413793,0.655071164698759,58
mse_d6_lr0.1_n300,reg:squarederror,300,6,0.1,0.001253999631724606,0.08015568676234092,0.015644549780262945,0.5517241379310345,0.3567344695908596,58
